nacionalidad,autoidentificacion_etnica,estatus_migratorio,numero_detenciones,estado_civil,nivel_de_instruccion,genero,edad,sexo
ECUATORIANO,MESTIZO/A,NO APLICA,0,CASADO/A,EDUCACIÓN INICIAL,MASCULINO,44,HOMBRE
ECUATORIANO,MESTIZO/A,NO APLICA,0,CASADO/A,NO APLICA,MASCULINO,60,HOMBRE
ECUATORIANO,MESTIZO/A,REGULAR,0,SOLTERO/A,EDUCACIÓN GENERAL BÁSICA,MASCULINO,21,HOMBRE
VENEZOLANO,MESTIZO/A,,0,,,MASCULINO,22,HOMBRE
VENEZOLANO,MESTIZO/A,,0,,NO APLICA,MASCULINO,35,HOMBRE
ECUATORIANO,MESTIZO/A,NO APLICA,0,SOLTERO/A,NO APLICA,MASCULINO,19,HOMBRE
ECUATORIANO,MESTIZO/A,,0,SOLTERO/A,,MASCULINO,29,HOMBRE
ECUATORIANO,,NO APLICA,0,CASADO/A,,FEMENINO,39,MUJER
ECUATORIANO,MESTIZO/A,REGULAR,0,SOLTERO/A,BACHILLERATO,MASCULINO,26,HOMBRE
ECUATORIANO,MESTIZO/A,,0,CASADO/A,EDUCACIÓN GENERAL BÁSICA,MASCULINO,39,HOMBRE
ECUATORIANO,MESTIZO/A,,0,SOLTERO/A,,FEMENINO,19,MUJER
ECUATORIANO,MESTIZO/A,NO APLICA,0,SOLTERO/A,,MASCULINO,51,HOMBRE
ECUATORIANO,MESTIZO/A,,0,SOLTERO/A,,MASCULINO,20,HOMBRE
COLOMBIANO,AFROECUATORIANO/A  AFRODESCENDIENTE,NO APLICA,0,SOLTERO/A,NO APLICA,MASCULINO,23,HOMBRE
ECUATORIANO,MESTIZO/A,REGULAR,0,SOLTERO/A,,MASCULINO,34,HOMBRE
ECUATORIANO,MONTUBIO/A,,0,SOLTERO/A,,MASCULINO,34,HOMBRE
CUBANO,,,0,CASADO/A,,MASCULINO,32,HOMBRE
ECUATORIANO,MONTUBIO/A,NO APLICA,0,SOLTERO/A,NO APLICA,MASCULINO,24,HOMBRE
ECUATORIANO,MESTIZO/A,,0,SOLTERO/A,,MASCULINO,29,HOMBRE
COLOMBIANO,MESTIZO/A,,0,,,FEMENINO,,MUJER
ECUATORIANO,MESTIZO/A,REGULAR,0,SOLTERO/A,,MASCULINO,35,HOMBRE
ECUATORIANO,MESTIZO/A,REGULAR,0,CASADO/A,,MASCULINO,42,HOMBRE
ECUATORIANO,MESTIZO/A,,0,SOLTERO/A,,MASCULINO,44,HOMBRE
ECUATORIANO,MESTIZO/A,NO APLICA,0,SOLTERO/A,NO APLICA,MASCULINO,42,HOMBRE
ECUATORIANO,MESTIZO/A,NO APLICA,0,SOLTERO/A,NO APLICA,MASCULINO,42,HOMBRE
ECUATORIANO,MESTIZO/A,,0,SOLTERO/A,,MASCULINO,24,HOMBRE
ECUATORIANO,MESTIZO/A,NO APLICA,0,CASADO/A,NO APLICA,MASCULINO,33,HOMBRE
VENEZOLANO,MESTIZO/A,,0,,,MASCULINO,25,HOMBRE
ECUATORIANO,,,0,SOLTERO/A,,MASCULINO,29,HOMBRE
ECUATORIANO,MESTIZO/A,,0,SOLTERO/A,NO APLICA,MASCULINO,25,HOMBRE
